id,feature_num,feature_cat,target,timestamp
401,47.306,C,0,2024-01-01 06:40:00
402,52.952,B,0,2024-01-01 06:41:00
403,62.308,B,1,2024-01-01 06:42:00
404,44.094,A,1,2024-01-01 06:43:00
405,57.818,A,1,2024-01-01 06:44:00
406,46.012,A,1,2024-01-01 06:45:00
407,48.237,C,1,2024-01-01 06:46:00
408,62.443,B,0,2024-01-01 06:47:00
409,20.104,B,1,2024-01-01 06:48:00
410,30.553,A,1,2024-01-01 06:49:00
411,27.767,A,0,2024-01-01 06:50:00
412,14.996,A,0,2024-01-01 06:51:00
413,39.826,B,1,2024-01-01 06:52:00
414,61.242,B,0,2024-01-01 06:53:00
415,45.727,A,1,2024-01-01 06:54:00
416,52.967,C,1,2024-01-01 06:55:00
417,66.338,A,0,2024-01-01 06:56:00
418,69.915,C,0,2024-01-01 06:57:00
419,48.963,A,0,2024-01-01 06:58:00
420,70.304,A,0,2024-01-01 06:59:00
421,51.382,C,0,2024-01-01 07:00:00
422,37.439,A,1,2024-01-01 07:01:00
423,41.084,A,0,2024-01-01 07:02:00
424,27.792,A,0,2024-01-01 07:03:00
425,36.678,A,0,2024-01-01 07:04:00
426,44.63,B,1,2024-01-01 07:05:00
427,62.054,C,0,2024-01-01 07:06:00
428,75.812,C,0,2024-01-01 07:07:00
429,29.267,A,1,2024-01-01 07:08:00
430,55.892,B,0,2024-01-01 07:09:00
431,34.392,A,0,2024-01-01 07:10:00
432,57.12,A,0,2024-01-01 07:11:00
433,48.034,A,0,2024-01-01 07:12:00
434,22.536,C,0,2024-01-01 07:13:00
435,63.924,C,1,2024-01-01 07:14:00
436,40.925,B,0,2024-01-01 07:15:00
437,41.991,B,0,2024-01-01 07:16:00
438,33.954,A,0,2024-01-01 07:17:00
439,40.186,B,1,2024-01-01 07:18:00
440,56.418,B,1,2024-01-01 07:19:00
441,47.161,A,0,2024-01-01 07:20:00
442,54.93,A,0,2024-01-01 07:21:00
443,55.429,A,0,2024-01-01 07:22:00
444,69.81,C,0,2024-01-01 07:23:00
445,44.858,A,0,2024-01-01 07:24:00
446,27.847,C,0,2024-01-01 07:25:00
447,66.008,A,1,2024-01-01 07:26:00
448,45.028,B,0,2024-01-01 07:27:00
449,66.719,A,0,2024-01-01 07:28:00
450,55.751,A,0,2024-01-01 07:29:00
451,48.033,A,1,2024-01-01 07:30:00
452,55.232,A,1,2024-01-01 07:31:00
453,79.265,C,0,2024-01-01 07:32:00
454,81.155,A,0,2024-01-01 07:33:00
455,51.041,B,1,2024-01-01 07:34:00
456,52.403,A,1,2024-01-01 07:35:00
457,66.144,A,0,2024-01-01 07:36:00
458,37.315,B,1,2024-01-01 07:37:00
459,54.996,A,1,2024-01-01 07:38:00
460,49.612,C,0,2024-01-01 07:39:00
461,54.709,C,1,2024-01-01 07:40:00
462,37.499,B,0,2024-01-01 07:41:00
463,26.156,A,0,2024-01-01 07:42:00
464,18.905,A,0,2024-01-01 07:43:00
465,33.239,C,0,2024-01-01 07:44:00
466,43.12,A,1,2024-01-01 07:45:00
467,45.602,A,0,2024-01-01 07:46:00
468,79.058,A,0,2024-01-01 07:47:00
469,66.59,B,0,2024-01-01 07:48:00
470,35.569,B,1,2024-01-01 07:49:00
471,55.216,B,1,2024-01-01 07:50:00
472,43.894,B,1,2024-01-01 07:51:00
473,45.735,A,0,2024-01-01 07:52:00
474,52.78,C,1,2024-01-01 07:53:00
475,59.288,A,1,2024-01-01 07:54:00
476,44.911,B,1,2024-01-01 07:55:00
477,65.958,A,0,2024-01-01 07:56:00
478,32.871,C,1,2024-01-01 07:57:00
479,50.095,A,0,2024-01-01 07:58:00
480,88.965,A,0,2024-01-01 07:59:00
481,53.346,A,0,2024-01-01 08:00:00
482,71.498,A,0,2024-01-01 08:01:00
483,51.373,A,0,2024-01-01 08:02:00
484,58.712,B,0,2024-01-01 08:03:00
485,49.148,A,0,2024-01-01 08:04:00
486,47.444,C,1,2024-01-01 08:05:00
487,38.308,A,0,2024-01-01 08:06:00
488,56.455,B,1,2024-01-01 08:07:00
489,37.227,A,1,2024-01-01 08:08:00
490,59.984,B,1,2024-01-01 08:09:00
491,66.279,B,1,2024-01-01 08:10:00
492,55.498,A,0,2024-01-01 08:11:00
493,45.706,C,1,2024-01-01 08:12:00
494,56.809,A,1,2024-01-01 08:13:00
495,45.37,A,0,2024-01-01 08:14:00
496,64.033,B,0,2024-01-01 08:15:00
497,22.529,C,1,2024-01-01 08:16:00
498,44.966,A,0,2024-01-01 08:17:00
499,20.138,A,0,2024-01-01 08:18:00
500,27.574,C,1,2024-01-01 08:19:00
