id,feature_num,feature_cat,target,timestamp
1,54.571,A,1,2024-01-01 00:00:00
2,34.4,A,1,2024-01-01 00:01:00
3,61.257,B,0,2024-01-01 00:02:00
4,64.108,A,1,2024-01-01 00:03:00
5,20.734,A,0,2024-01-01 00:04:00
6,30.467,C,1,2024-01-01 00:05:00
7,51.918,C,1,2024-01-01 00:06:00
8,45.256,B,1,2024-01-01 00:07:00
9,49.748,A,0,2024-01-01 00:08:00
10,37.204,B,0,2024-01-01 00:09:00
11,63.191,B,0,2024-01-01 00:10:00
12,61.667,A,1,2024-01-01 00:11:00
13,50.99,B,1,2024-01-01 00:12:00
14,66.909,A,0,2024-01-01 00:13:00
15,57.013,A,1,2024-01-01 00:14:00
16,37.111,B,1,2024-01-01 00:15:00
17,55.531,A,0,2024-01-01 00:16:00
18,35.617,A,0,2024-01-01 00:17:00
19,63.177,C,1,2024-01-01 00:18:00
20,49.251,C,1,2024-01-01 00:19:00
21,47.227,B,0,2024-01-01 00:20:00
22,39.786,C,1,2024-01-01 00:21:00
23,68.338,C,1,2024-01-01 00:22:00
24,47.682,A,1,2024-01-01 00:23:00
25,43.575,A,1,2024-01-01 00:24:00
26,44.718,A,1,2024-01-01 00:25:00
27,57.985,A,0,2024-01-01 00:26:00
28,55.482,B,0,2024-01-01 00:27:00
29,56.191,A,0,2024-01-01 00:28:00
30,56.462,A,1,2024-01-01 00:29:00
31,82.125,A,0,2024-01-01 00:30:00
32,43.904,A,0,2024-01-01 00:31:00
33,42.316,C,1,2024-01-01 00:32:00
34,37.793,A,0,2024-01-01 00:33:00
35,59.24,A,0,2024-01-01 00:34:00
36,66.935,A,0,2024-01-01 00:35:00
37,48.291,A,0,2024-01-01 00:36:00
38,37.398,B,0,2024-01-01 00:37:00
39,37.633,A,1,2024-01-01 00:38:00
40,59.759,A,0,2024-01-01 00:39:00
41,61.149,A,0,2024-01-01 00:40:00
42,58.147,C,1,2024-01-01 00:41:00
43,40.017,B,0,2024-01-01 00:42:00
44,53.482,B,1,2024-01-01 00:43:00
45,51.75,B,1,2024-01-01 00:44:00
46,53.28,B,1,2024-01-01 00:45:00
47,63.071,A,0,2024-01-01 00:46:00
48,53.354,A,0,2024-01-01 00:47:00
49,60.184,B,1,2024-01-01 00:48:00
50,51.014,A,0,2024-01-01 00:49:00
51,54.337,C,1,2024-01-01 00:50:00
52,59.469,A,0,2024-01-01 00:51:00
53,28.143,B,0,2024-01-01 00:52:00
54,45.205,C,1,2024-01-01 00:53:00
55,42.944,B,1,2024-01-01 00:54:00
56,40.417,C,1,2024-01-01 00:55:00
57,45.873,B,1,2024-01-01 00:56:00
58,72.424,C,0,2024-01-01 00:57:00
59,37.013,A,1,2024-01-01 00:58:00
60,64.524,A,1,2024-01-01 00:59:00
61,24.757,B,0,2024-01-01 01:00:00
62,44.977,A,0,2024-01-01 01:01:00
63,52.441,A,1,2024-01-01 01:02:00
64,58.793,C,0,2024-01-01 01:03:00
65,60.668,B,1,2024-01-01 01:04:00
66,61.9,A,0,2024-01-01 01:05:00
67,44.769,A,0,2024-01-01 01:06:00
68,43.065,A,0,2024-01-01 01:07:00
69,62.87,A,0,2024-01-01 01:08:00
70,47.13,C,1,2024-01-01 01:09:00
71,30.865,A,1,2024-01-01 01:10:00
72,33.001,A,1,2024-01-01 01:11:00
73,36.208,B,1,2024-01-01 01:12:00
74,57.457,A,0,2024-01-01 01:13:00
75,52.136,A,1,2024-01-01 01:14:00
76,60.357,B,1,2024-01-01 01:15:00
77,43.591,B,1,2024-01-01 01:16:00
78,52.378,C,1,2024-01-01 01:17:00
79,59.384,B,1,2024-01-01 01:18:00
80,45.36,A,1,2024-01-01 01:19:00
81,56.852,B,1,2024-01-01 01:20:00
82,40.071,C,1,2024-01-01 01:21:00
83,44.554,B,1,2024-01-01 01:22:00
84,44.274,C,0,2024-01-01 01:23:00
85,32.062,B,0,2024-01-01 01:24:00
86,57.305,C,1,2024-01-01 01:25:00
87,42.959,A,0,2024-01-01 01:26:00
88,50.187,B,0,2024-01-01 01:27:00
89,57.211,A,1,2024-01-01 01:28:00
90,56.698,B,1,2024-01-01 01:29:00
91,59.981,B,1,2024-01-01 01:30:00
92,48.523,C,0,2024-01-01 01:31:00
93,43.651,C,0,2024-01-01 01:32:00
94,48.804,A,1,2024-01-01 01:33:00
95,24.69,B,1,2024-01-01 01:34:00
96,28.293,B,0,2024-01-01 01:35:00
97,30.16,A,1,2024-01-01 01:36:00
98,35.041,A,0,2024-01-01 01:37:00
99,55.997,A,1,2024-01-01 01:38:00
100,36.418,B,1,2024-01-01 01:39:00
101,44.328,A,1,2024-01-01 01:40:00
102,69.488,C,1,2024-01-01 01:41:00
103,44.656,A,0,2024-01-01 01:42:00
104,61.063,C,0,2024-01-01 01:43:00
105,35.996,A,0,2024-01-01 01:44:00
106,46.918,B,1,2024-01-01 01:45:00
107,35.75,A,1,2024-01-01 01:46:00
108,44.915,B,1,2024-01-01 01:47:00
109,62.605,C,0,2024-01-01 01:48:00
110,24.09,C,0,2024-01-01 01:49:00
111,56.516,C,1,2024-01-01 01:50:00
112,53.566,A,1,2024-01-01 01:51:00
113,41.088,A,1,2024-01-01 01:52:00
114,28.309,A,0,2024-01-01 01:53:00
115,51.082,A,0,2024-01-01 01:54:00
116,42.058,B,1,2024-01-01 01:55:00
117,53.49,B,1,2024-01-01 01:56:00
118,50.328,B,0,2024-01-01 01:57:00
119,74.027,C,1,2024-01-01 01:58:00
120,46.41,B,0,2024-01-01 01:59:00
121,34.648,C,0,2024-01-01 02:00:00
122,52.689,A,1,2024-01-01 02:01:00
123,53.3,A,1,2024-01-01 02:02:00
124,70.388,B,1,2024-01-01 02:03:00
125,62.527,C,0,2024-01-01 02:04:00
126,55.353,A,1,2024-01-01 02:05:00
127,71.95,B,1,2024-01-01 02:06:00
128,32.169,B,1,2024-01-01 02:07:00
129,40.404,A,0,2024-01-01 02:08:00
130,36.101,A,1,2024-01-01 02:09:00
131,44.153,C,1,2024-01-01 02:10:00
132,29.35,B,1,2024-01-01 02:11:00
133,59.527,A,0,2024-01-01 02:12:00
134,46.667,C,1,2024-01-01 02:13:00
135,27.938,A,0,2024-01-01 02:14:00
136,34.766,C,0,2024-01-01 02:15:00
137,54.703,A,1,2024-01-01 02:16:00
138,62.572,B,0,2024-01-01 02:17:00
139,79.951,A,1,2024-01-01 02:18:00
140,93.708,A,0,2024-01-01 02:19:00
141,56.216,C,1,2024-01-01 02:20:00
